year_month,state,total_enrolment,age_0_5,age_5_17,age_18_greater,total_updates,demo_age_5_17,demo_age_17_,update_enrolment_ratio,enrolment_growth_rate,age_vulnerability,enrolment_volatility,aadhaar_pulse_index
2025-07,Andaman and Nicobar Islands,4,4,0,0,95,16,79,23.75,0.33333333333333326,1.0,6.180982563844154,28.700230510504767
2025-08,Andaman and Nicobar Islands,19,19,0,0,93,9,84,4.894736842105263,3.75,1.0,6.180982563844154,41.73106146917047
2025-09,Andaman and Nicobar Islands,13,10,3,0,150,16,134,11.538461538461538,-0.3157894736842105,1.0,6.180982563844154,24.350291944306825
2025-10,Andaman and Nicobar Islands,18,16,2,0,109,7,102,6.055555555555555,0.3846153846153846,1.0,6.180982563844154,26.82960184539113
2025-11,Andaman and Nicobar Islands,10,10,0,0,151,15,136,15.1,-0.4444444444444444,1.0,6.180982563844154,24.198006607727944
2025-12,Andaman and Nicobar Islands,8,8,0,0,150,12,138,18.75,-0.19999999999999996,1.0,6.180982563844154,25.723523781743644
2025-01,Andhra Pradesh,5408,3892,1179,337,679465,83881,595584,125.6407174556213,0.0,0.9376849112426036,1129.2512268460605,38.30660657378581
2025-02,Andhra Pradesh,5400,4732,639,29,44051,7775,36276,8.157592592592593,-0.0014792899408283544,0.9946296296296296,1129.2512268460605,25.497181709069768
2025-03,Andhra Pradesh,3242,2827,378,37,45597,6541,39056,14.064466378778532,-0.39962962962962967,0.9885872917951881,1129.2512268460605,24.29805073321755
2025-04,Andhra Pradesh,1886,1640,225,21,46690,6463,40227,24.75609756097561,-0.41826033312769895,0.9888653234358431,1129.2512268460605,25.489129184947974
2025-05,Andhra Pradesh,3364,3024,315,25,28210,5440,22770,8.385850178359096,0.7836691410392365,0.9925683709869203,1129.2512268460605,28.991711196664372
2025-06,Andhra Pradesh,3318,2881,392,45,35435,5346,30089,10.679626280892103,-0.013674197384066611,0.9864376130198915,1129.2512268460605,25.578134276541203
2025-07,Andhra Pradesh,1623,1405,165,53,29925,6080,23845,18.43807763401109,-0.5108499095840868,0.9673444239063462,1129.2512268460605,23.895188680223338
2025-08,Andhra Pradesh,3830,3360,454,16,32283,4803,27480,8.428981723237598,1.3598274799753542,0.995822454308094,1129.2512268460605,31.636644765814324
2025-09,Andhra Pradesh,3375,2994,359,22,33485,4734,28751,9.921481481481482,-0.118798955613577,0.9934814814814815,1129.2512268460605,25.159261700855563
2025-10,Andhra Pradesh,3725,3264,386,75,31889,3604,28285,8.560805369127516,0.10370370370370363,0.9798657718120806,1129.2512268460605,25.719794998419225
2025-11,Andhra Pradesh,3047,2628,373,46,38565,4840,33725,12.656711519527404,-0.18201342281879196,0.9849031834591402,1129.2512268460605,25.02979267371399
2025-12,Andhra Pradesh,3060,2651,388,21,37744,4551,33193,12.334640522875818,0.00426649163111259,0.9931372549019608,1129.2512268460605,25.98870072017485
2025-01,Arunachal Pradesh,628,169,416,43,6995,854,6141,11.138535031847134,0.0,0.9315286624203821,147.05356167056954,24.376078171049052
2025-02,Arunachal Pradesh,158,104,54,0,1215,198,1017,7.689873417721519,-0.7484076433121019,1.0,147.05356167056954,21.991772342633624
2025-03,Arunachal Pradesh,136,74,60,2,1191,210,981,8.757352941176471,-0.1392405063291139,0.9852941176470589,147.05356167056954,24.546575402961075
2025-04,Arunachal Pradesh,109,56,53,0,1130,175,955,10.36697247706422,-0.19852941176470584,1.0,147.05356167056954,24.76675644831448
2025-05,Arunachal Pradesh,122,71,51,0,779,139,640,6.385245901639344,0.11926605504587151,1.0,147.05356167056954,25.714408208422267
2025-06,Arunachal Pradesh,113,51,60,2,654,125,529,5.787610619469026,-0.07377049180327866,0.9823008849557522,147.05356167056954,24.42686384927369
2025-07,Arunachal Pradesh,105,42,62,1,504,84,420,4.8,-0.07079646017699115,0.9904761904761905,147.05356167056954,24.48646066137629
2025-08,Arunachal Pradesh,171,81,90,0,1146,204,942,6.701754385964913,0.6285714285714286,1.0,147.05356167056954,28.027949524747065
2025-09,Arunachal Pradesh,143,76,67,0,1031,191,840,7.20979020979021,-0.16374269005847952,1.0,147.05356167056954,24.547548727554226
2025-10,Arunachal Pradesh,95,41,52,2,857,164,693,9.021052631578947,-0.3356643356643356,0.9789473684210527,147.05356167056954,23.573155808976633
2025-11,Arunachal Pradesh,110,54,55,1,1040,153,887,9.454545454545455,0.1578947368421053,0.990909090909091,147.05356167056954,26.06944710194731
2025-12,Arunachal Pradesh,111,42,66,3,904,182,722,8.144144144144144,0.009090909090909038,0.972972972972973,147.05356167056954,24.890245776994995
2025-01,Assam,100641,55627,31225,13789,204077,17932,186145,2.027771981597957,0.0,0.8629882453473237,27937.831904746632,28.13312149001932
2025-02,Assam,5789,4125,1563,101,23038,2207,20831,3.9796165140784248,-0.9424787114595443,0.9825531179823804,27937.831904746632,26.544299977698316
2025-03,Assam,3676,2510,934,232,21726,2126,19600,5.910228509249184,-0.3650025911210917,0.9368879216539717,27937.831904746632,28.44072393146735
2025-04,Assam,2894,2059,794,41,26151,2299,23852,9.036281962681409,-0.21273122959738844,0.9858327574291638,27937.831904746632,30.471058536630025
2025-05,Assam,4606,3347,1201,58,19304,1730,17574,4.191055145462441,0.5915687629578439,0.9874077290490665,27937.831904746632,33.52182723503533
2025-06,Assam,4249,2830,1084,335,20398,2042,18356,4.800658978583196,-0.07750759878419455,0.9211579195104731,27937.831904746632,29.279207578953244
2025-07,Assam,1793,1081,443,269,12091,993,11098,6.743446737311768,-0.578018357260532,0.8499721137757947,27937.831904746632,25.8493618984741
2025-08,Assam,4863,3361,1393,109,29761,2657,27104,6.119884844746042,1.7122141662018961,0.9775858523545137,27937.831904746632,38.56221823633677
2025-09,Assam,3959,2826,1081,52,17433,1640,15793,4.40338469310432,-0.18589348139008843,0.9868653700429402,27937.831904746632,30.061857809853954
2025-10,Assam,4327,2946,1171,210,21969,1889,20080,5.077189738849087,0.09295276584996204,0.9514675294661428,27937.831904746632,30.679968070998743
2025-11,Assam,3776,2467,1103,206,20462,1724,18738,5.418961864406779,-0.12733995840073953,0.9454449152542372,27937.831904746632,29.615630826424983
2025-12,Assam,3242,1910,898,434,15676,1437,14239,4.835286859962986,-0.14141949152542377,0.8661320172732881,27937.831904746632,27.897189675962803
2025-01,Bihar,176378,64473,104798,7107,929759,81139,848620,5.271400061232127,0.0,0.9597058590073592,47763.03488498446,34.88174809616903
2025-02,Bihar,15018,6572,8379,67,124278,9912,114366,8.275269676388334,-0.9148533263785733,0.9955386869090425,47763.03488498446,31.866581563736375
2025-03,Bihar,10100,4133,5851,116,121407,9808,111599,12.02049504950495,-0.32747369822879213,0.9885148514851485,47763.03488498446,34.795429437310666
2025-04,Bihar,6230,2580,3606,44,138082,9412,128670,22.164044943820226,-0.3831683168316832,0.9929373996789728,47763.03488498446,35.83872644081511
2025-05,Bihar,12048,5376,6569,103,99051,6664,92387,8.221364541832669,0.9338683788121991,0.9914508632138114,47763.03488498446,40.03998643228152
2025-06,Bihar,12258,4730,7384,144,107364,7809,99555,8.758688203622125,0.017430278884462247,0.9882525697503671,47763.03488498446,35.94441072673163
2025-07,Bihar,5272,2174,3027,71,67462,5667,61795,12.79628224582701,-0.5699135258606625,0.9865326251896813,47763.03488498446,33.764433604184305
2025-08,Bihar,13508,6097,7297,114,163158,11197,151961,12.078620076991413,1.5622154779969653,0.9915605567071365,47763.03488498446,43.30787471885784
2025-09,Bihar,13340,5951,7161,228,116634,8101,108533,8.743178410794602,-0.012437074326325126,0.9829085457271365,47763.03488498446,35.70221862316201
2025-10,Bihar,13816,6569,7134,113,126935,8111,118824,9.187536189924725,0.03568215892053983,0.9918210770121598,47763.03488498446,36.148236121698886
2025-11,Bihar,10670,4576,5989,105,115243,8358,106885,10.800656044985942,-0.22770700636942676,0.9901593252108716,47763.03488498446,35.12939765167178
2025-12,Bihar,11312,4548,6660,104,95305,6990,88315,8.425123762376238,0.06016869728209939,0.9908062234794908,47763.03488498446,36.14688897755434
2025-01,Chandigarh,150,117,23,10,37968,6930,31038,253.12,0.0,0.9333333333333333,33.614007722250484,53.1027388313179
2025-02,Chandigarh,82,80,2,0,729,92,637,8.890243902439025,-0.45333333333333337,1.0,33.614007722250484,23.42750205662775
2025-03,Chandigarh,28,25,3,0,870,89,781,31.071428571428573,-0.6585365853658536,1.0,33.614007722250484,25.142729367888382
2025-04,Chandigarh,34,29,4,1,905,119,786,26.61764705882353,0.2142857142857142,0.9705882352941176,33.614007722250484,27.926428249301928
2025-05,Chandigarh,78,74,4,0,470,55,415,6.0256410256410255,1.2941176470588234,1.0,33.614007722250484,30.89656012342005
2025-06,Chandigarh,57,48,9,0,770,91,679,13.508771929824562,-0.2692307692307693,1.0,33.614007722250484,24.798298846173537
2025-07,Chandigarh,38,37,0,1,569,51,518,14.973684210526315,-0.33333333333333337,0.9736842105263158,33.614007722250484,24.15936280842504
2025-08,Chandigarh,73,68,5,0,910,98,812,12.465753424657533,0.9210526315789473,1.0,33.614007722250484,29.993656438294142
2025-09,Chandigarh,79,73,6,0,678,93,585,8.582278481012658,0.08219178082191791,1.0,33.614007722250484,25.784107773174114
2025-10,Chandigarh,104,90,9,5,670,60,610,6.4423076923076925,0.31645569620253156,0.9519230769230769,33.614007722250484,25.615496637084046
2025-11,Chandigarh,70,62,8,0,928,92,836,13.257142857142858,-0.32692307692307687,1.0,33.614007722250484,24.510622959293478
2025-12,Chandigarh,52,47,4,1,771,73,698,14.826923076923077,-0.2571428571428571,0.9807692307692307,33.614007722250484,24.6241267036626
2025-01,Chhattisgarh,13667,9591,3049,1027,665537,51696,613841,48.69664154532816,0.0,0.9248554913294798,3358.3646577229256,29.417103006522694
2025-02,Chhattisgarh,3506,2764,733,9,25901,2289,23612,7.387621220764404,-0.7434696714714275,0.9974329720479178,3358.3646577229256,22.644102516063
2025-03,Chhattisgarh,1823,1449,293,81,28918,2999,25919,15.86286341195831,-0.48003422703936105,0.9555677454744926,3358.3646577229256,23.989792966301387
2025-04,Chhattisgarh,1038,830,192,16,33878,2901,30977,32.63776493256262,-0.4306088864509051,0.9845857418111753,3358.3646577229256,26.781700193995974
2025-05,Chhattisgarh,2334,1860,460,14,15755,1664,14091,6.750214224507284,1.2485549132947975,0.9940017137960583,3358.3646577229256,31.401785783815416
2025-06,Chhattisgarh,1998,1641,327,30,24007,2417,21590,12.015515515515515,-0.14395886889460152,0.984984984984985,3358.3646577229256,25.623425305084695
2025-07,Chhattisgarh,1188,957,228,3,12847,1750,11097,10.813973063973064,-0.4054054054054054,0.9974747474747475,3358.3646577229256,24.5622826862149
2025-08,Chhattisgarh,3032,2451,557,24,44132,3863,40269,14.555408970976254,1.5521885521885523,0.9920844327176781,3358.3646577229256,33.646558181857365
2025-09,Chhattisgarh,2992,2520,456,16,27930,2516,25414,9.334893048128341,-0.01319261213720313,0.9946524064171123,3358.3646577229256,26.083032171813713
2025-10,Chhattisgarh,2796,2273,482,41,33973,2999,30974,12.150572246065808,-0.06550802139037437,0.9853361945636624,3358.3646577229256,25.99705741573978
2025-11,Chhattisgarh,2245,1776,448,21,32641,3114,29527,14.539420935412027,-0.19706723891273248,0.9906458797327394,3358.3646577229256,25.798824342084693
2025-12,Chhattisgarh,2496,1988,490,18,32525,2680,29845,13.03084935897436,0.11180400890868603,0.9927884615384616,3358.3646577229256,27.0429362457843
2025-01,Dadra & Nagar Haveli,1,1,0,0,2,0,2,2.0,0.0,1.0,0.44095855184409843,24.628279810838745
2025-02,Dadra & Nagar Haveli,2,2,0,0,7,1,6,3.5,1.0,1.0,0.44095855184409843,29.27507960487211
2025-03,Dadra & Nagar Haveli,1,1,0,0,7,3,4,7.0,-0.5,1.0,0.44095855184409843,22.987231736522233
2025-05,Dadra & Nagar Haveli,1,0,1,0,8,1,7,8.0,0.0,1.0,0.44095855184409843,25.340299104091102
2025-06,Dadra & Nagar Haveli,1,0,1,0,2,0,2,2.0,0.0,1.0,0.44095855184409843,24.628279810838745
2025-08,Dadra & Nagar Haveli,1,1,0,0,9,2,7,9.0,0.0,1.0,0.44095855184409843,25.45896898629983
2025-09,Dadra & Nagar Haveli,1,1,0,0,10,1,9,10.0,0.0,1.0,0.44095855184409843,25.577638868508558
2025-10,Dadra & Nagar Haveli,2,2,0,0,6,2,4,3.0,1.0,1.0,0.44095855184409843,29.21574466376775
2025-11,Dadra & Nagar Haveli,1,1,0,0,4,0,4,4.0,-0.5,1.0,0.44095855184409843,22.631222089896056
2025-01,Dadra and Nagar Haveli,16,16,0,0,1274,147,1127,79.625,0.0,1.0,12.536915187726303,33.84273189990138
2025-02,Dadra and Nagar Haveli,38,35,3,0,102,21,81,2.6842105263157894,1.375,1.0,12.536915187726303,30.856770560753223
2025-03,Dadra and Nagar Haveli,25,25,0,0,124,34,90,4.96,-0.3421052631578947,1.0,12.536915187726303,23.453446865329862
2025-04,Dadra and Nagar Haveli,7,6,1,0,147,40,107,21.0,-0.72,1.0,12.536915187726303,23.668177676496175
2025-05,Dadra and Nagar Haveli,4,4,0,0,77,36,41,19.25,-0.4285714285714286,1.0,12.536915187726303,24.762839916955098
2025-06,Dadra and Nagar Haveli,8,7,1,0,187,71,116,23.375,1.0,1.0,12.536915187726303,31.63634599638079
2025-07,Dadra and Nagar Haveli,6,5,1,0,111,43,68,18.5,-0.25,1.0,12.536915187726303,25.47183660721289
2025-08,Dadra and Nagar Haveli,22,19,2,1,186,32,154,8.454545454545455,2.6666666666666665,0.9545454545454546,12.536915187726303,36.404638121747254
2025-09,Dadra and Nagar Haveli,32,29,3,0,156,39,117,4.875,0.4545454545454546,1.0,12.536915187726303,27.003428646035555
2025-10,Dadra and Nagar Haveli,24,17,7,0,106,18,88,4.416666666666667,-0.25,1.0,12.536915187726303,23.80056909943999
2025-11,Dadra and Nagar Haveli,38,36,2,0,178,47,131,4.684210526315789,0.5833333333333333,1.0,12.536915187726303,27.55631430668378
2025-12,Dadra and Nagar Haveli,31,28,2,1,105,23,82,3.3870967741935485,-0.1842105263157895,0.967741935483871,12.536915187726303,23.327228540378307
2025-01,Dadra and Nagar Haveli and Daman and Diu,2,1,1,0,499,45,454,249.5,0.0,1.0,2.5690465157330262,53.999551115611474
2025-02,Dadra and Nagar Haveli and Daman and Diu,8,8,0,0,82,7,75,10.25,3.0,1.0,2.5690465157330262,39.014166709334454
2025-03,Dadra and Nagar Haveli and Daman and Diu,5,4,0,1,109,9,100,21.8,-0.375,0.8,2.5690465157330262,21.3026208226643
2025-04,Dadra and Nagar Haveli and Daman and Diu,3,1,2,0,66,1,65,22.0,-0.4,1.0,2.5690465157330262,25.21463492483803
2025-05,Dadra and Nagar Haveli and Daman and Diu,1,0,0,1,74,2,72,74.0,-0.6666666666666667,0.0,2.5690465157330262,10.19379014083308
2025-06,Dadra and Nagar Haveli and Daman and Diu,4,1,3,0,112,11,101,28.0,3.0,1.0,2.5690465157330262,41.120557118539345
2025-08,Dadra and Nagar Haveli and Daman and Diu,3,3,0,0,89,3,86,29.666666666666668,-0.25,1.0,2.5690465157330262,26.794756600712976
2025-09,Dadra and Nagar Haveli and Daman and Diu,7,4,3,0,77,2,75,11.0,1.3333333333333335,1.0,2.5690465157330262,31.65517750312386
2025-10,Dadra and Nagar Haveli and Daman and Diu,8,8,0,0,79,5,74,9.875,0.1428571428571428,1.0,2.5690465157330262,26.201679872876802
2025-11,Dadra and Nagar Haveli and Daman and Diu,8,3,3,2,79,4,75,9.875,0.0,0.75,2.5690465157330262,20.563280591345332
2025-12,Dadra and Nagar Haveli and Daman and Diu,6,4,1,1,125,15,110,20.833333333333332,-0.25,0.8333333333333334,2.5690465157330262,22.41317264120256
2025-02,Daman & Diu,2,2,0,0,18,1,17,9.0,0.0,1.0,0.5773502691896257,25.458999458982177
2025-04,Daman & Diu,1,1,0,0,18,1,17,18.0,-0.5,1.0,0.5773502691896257,24.29263091350058
2025-08,Daman & Diu,1,1,0,0,29,3,26,29.0,0.0,1.0,0.5773502691896257,27.832397103156715
2025-12,Daman & Diu,2,2,0,0,23,1,22,11.5,1.0,1.0,0.5773502691896257,30.22446913522428
2025-01,Daman and Diu,3,2,1,0,225,22,203,75.0,0.0,1.0,2.394437999475729,33.29161765909653
2025-02,Daman and Diu,4,3,1,0,41,6,35,10.25,0.33333333333333326,1.0,2.394437999475729,27.0973411096549
2025-03,Daman and Diu,1,0,1,0,42,3,39,42.0,-0.75,1.0,2.394437999475729,26.023915318168335
2025-05,Daman and Diu,1,1,0,0,15,3,12,15.0,0.0,1.0,2.394437999475729,26.171424726572923
2025-07,Daman and Diu,1,1,0,0,27,3,24,27.0,0.0,1.0,2.394437999475729,27.595463313077644
2025-08,Daman and Diu,6,4,2,0,39,3,36,6.5,5.0,1.0,2.394437999475729,47.50670558140015
2025-09,Daman and Diu,8,7,1,0,52,7,45,6.5,0.33333333333333326,1.0,2.394437999475729,26.652329051372174
2025-10,Daman and Diu,1,1,0,0,35,7,28,35.0,-0.875,1.0,2.394437999475729,24.634626771367213
2025-11,Daman and Diu,3,3,0,0,58,8,50,19.333333333333332,2.0,1.0,2.394437999475729,35.62325082425131
2025-12,Daman and Diu,4,4,0,0,60,9,51,15.0,0.33333333333333326,1.0,2.394437999475729,27.661023050146348
2025-01,Delhi,39672,26512,11181,1979,670947,86948,583999,16.91235632183908,0.0,0.9501159507965315,11033.102152778083,27.86516718784658
2025-02,Delhi,2405,1880,503,22,10550,1184,9366,4.386694386694387,-0.9393778987699133,0.9908523908523909,11033.102152778083,22.995589932905038
2025-03,Delhi,1112,838,251,23,12994,1466,11528,11.68525179856115,-0.5376299376299376,0.97931654676259,11033.102152778083,25.426321267708328
2025-04,Delhi,936,703,225,8,13427,1416,12011,14.34508547008547,-0.15827338129496404,0.9914529914529915,11033.102152778083,27.679958981070452
2025-05,Delhi,1147,862,273,12,8171,862,7309,7.123801220575414,0.22542735042735051,0.9895379250217959,11033.102152778083,28.499388601343817
2025-06,Delhi,1627,1169,407,51,13042,1505,11537,8.0159803318992,0.41848299912816045,0.9686539643515673,11033.102152778083,29.050310289972447
2025-07,Delhi,784,590,168,26,8867,916,7951,11.309948979591837,-0.5181315304240934,0.9668367346938775,11033.102152778083,25.21932226907292
2025-08,Delhi,1719,1305,370,44,14553,1565,12988,8.465968586387435,1.1926020408163267,0.9744037230948226,11033.102152778083,32.678084798227864
2025-09,Delhi,1845,1394,373,78,11180,1306,9874,6.059620596205962,0.0732984293193717,0.9577235772357724,11033.102152778083,27.056982498732175
2025-10,Delhi,1833,1418,391,24,10300,1157,9143,5.619203491543917,-0.006504065040650375,0.9869067103109657,11033.102152778083,27.231759928856093
2025-11,Delhi,1445,1093,329,23,13897,1542,12355,9.617301038062283,-0.21167484997272235,0.9840830449826989,11033.102152778083,26.73287421535191
2025-12,Delhi,1470,1123,318,29,12239,1314,10925,8.325850340136055,0.01730103806228378,0.9802721088435374,11033.102152778083,27.526645487234447
2025-01,Goa,105,67,23,15,6864,1072,5792,65.37142857142857,0.0,0.8571428571428571,24.013096174354278,29.296683412407088
2025-02,Goa,51,30,13,8,765,51,714,15.0,-0.5142857142857142,0.8431372549019608,24.013096174354278,20.740762458819155
2025-03,Goa,44,32,8,4,830,67,763,18.863636363636363,-0.13725490196078427,0.9090909090909091,24.013096174354278,24.203206212692432
2025-04,Goa,39,32,5,2,994,74,920,25.487179487179485,-0.11363636363636365,0.9487179487179487,24.013096174354278,25.887308492788442
2025-05,Goa,78,58,11,9,680,75,605,8.717948717948717,1.0,0.8846153846153846,24.013096174354278,27.591867151650995
2025-06,Goa,45,38,7,0,859,62,797,19.08888888888889,-0.42307692307692313,1.0,24.013096174354278,24.77083871102828
2025-07,Goa,27,24,3,0,553,55,498,20.48148148148148,-0.4,1.0,24.013096174354278,25.03922354774184
2025-08,Goa,101,86,11,4,1121,85,1036,11.099009900990099,2.740740740740741,0.9603960396039604,24.013096174354278,37.16905396909592
2025-09,Goa,64,51,9,4,837,58,779,13.078125,-0.36633663366336633,0.9375,24.013096174354278,23.061102788317882
2025-10,Goa,70,60,8,2,891,30,861,12.728571428571428,0.09375,0.9714285714285714,24.013096174354278,25.754225570352716
2025-11,Goa,68,58,7,3,1017,62,955,14.955882352941176,-0.02857142857142858,0.9558823529411765,24.013096174354278,25.16098654083067
2025-12,Goa,75,63,8,4,972,64,908,12.96,0.10294117647058831,0.9466666666666667,24.013096174354278,25.327524559612552
2025-01,Gujarat,119113,68902,39809,10402,594788,77438,517350,4.993476782551023,0.0,0.9126711609983796,33181.20043675699,30.650194764521633
2025-02,Gujarat,6802,5304,1362,136,32369,2880,29489,4.758747427227286,-0.9428945623063814,0.980005880623346,33181.20043675699,27.75543137411951
2025-03,Gujarat,4199,3038,990,171,35850,3789,32061,8.537747082638724,-0.38268156424581,0.9592760180995475,33181.20043675699,30.29276459588324
2025-04,Gujarat,2400,1648,662,90,34321,3224,31097,14.300416666666667,-0.4284353417480352,0.9625,33181.20043675699,30.836635303843302
2025-05,Gujarat,1885,1468,399,18,19838,2200,17638,10.524137931034483,-0.21458333333333335,0.9904509283819629,33181.20043675699,31.903184098419818
2025-06,Gujarat,2749,1972,572,205,29719,3677,26042,10.81084030556566,0.4583554376657826,0.925427428155693,33181.20043675699,33.64396242635254
2025-07,Gujarat,1541,1035,246,260,19477,2474,17003,12.63919532770928,-0.43943252091669693,0.8312783906554185,33181.20043675699,27.965922037373954
2025-08,Gujarat,5019,3657,1065,297,37372,3698,33674,7.4461048017533376,2.2569759896171315,0.9408248655110579,33181.20043675699,41.59028488435323
2025-09,Gujarat,5791,4570,1156,65,28298,3055,25243,4.88654809186669,0.15381550109583575,0.9887756864099465,33181.20043675699,32.84696599534062
2025-10,Gujarat,5689,4252,1229,208,30116,2772,27344,5.29372473193883,-0.017613538249007132,0.963438214097381,33181.20043675699,31.62245492414517
2025-11,Gujarat,5558,4112,1224,222,36161,3496,32665,6.506117308384311,-0.02302689400597646,0.9600575746671465,33181.20043675699,31.674525442796543
2025-12,Gujarat,6070,4569,1321,180,39332,3850,35482,6.479736408566722,0.09211946743432886,0.9703459637561779,33181.20043675699,32.39172808720443
2025-01,Haryana,21843,17488,3715,640,464175,57867,406308,21.250515039142975,0.0,0.9706999954218742,5765.4408876327825,27.61475425182496
2025-02,Haryana,2636,2421,208,7,14555,1729,12826,5.521623672230652,-0.8793206061438447,0.9973444613050075,5765.4408876327825,22.35159438131596
2025-03,Haryana,1572,1441,122,9,17990,2162,15828,11.444020356234097,-0.40364188163884673,0.9942748091603053,5765.4408876327825,25.11872214705253
2025-04,Haryana,824,741,82,1,14803,1681,13122,17.964805825242717,-0.4758269720101781,0.9987864077669902,5765.4408876327825,25.660194593889464
2025-05,Haryana,2394,2188,193,13,12233,1522,10711,5.109857978279031,1.9053398058252426,0.9945697577276524,5765.4408876327825,34.691312567541345
2025-06,Haryana,1824,1659,153,12,12744,1549,11195,6.9868421052631575,-0.23809523809523814,0.993421052631579,5765.4408876327825,25.31250820653928
2025-07,Haryana,1004,912,90,2,9683,1117,8566,9.644422310756973,-0.44956140350877194,0.99800796812749,5765.4408876327825,24.774622309926198
2025-08,Haryana,2606,2426,166,14,16643,1877,14766,6.386415963161934,1.595617529880478,0.9946277820414429,5765.4408876327825,33.45987669045382
2025-09,Haryana,2578,2280,265,33,11767,1477,10290,4.564391000775795,-0.010744435917114381,0.9871993793638479,5765.4408876327825,25.916586875321567
2025-10,Haryana,2634,2420,204,10,14252,1676,12576,5.410782080485953,0.021722265321955092,0.9962034927866363,5765.4408876327825,26.34219730472209
2025-11,Haryana,1935,1774,135,26,15726,1894,13832,8.127131782945737,-0.265375854214123,0.98656330749354,5765.4408876327825,25.188759865402698
2025-12,Haryana,1861,1664,166,31,16693,1775,14918,8.969908651262761,-0.038242894056847554,0.983342289091886,5765.4408876327825,26.239362359096685
2025-01,Himachal Pradesh,303,238,29,36,32341,4555,27786,106.73597359735973,0.0,0.8811881188118812,151.9448663964743,34.71489688981513
2025-02,Himachal Pradesh,543,520,21,2,2920,432,2488,5.377532228360957,0.7920792079207921,0.996316758747698,151.9448663964743,28.52891497118078
2025-03,Himachal Pradesh,282,270,6,6,3185,533,2652,11.294326241134751,-0.48066298342541436,0.9787234042553191,151.9448663964743,23.191569226170934
2025-04,Himachal Pradesh,135,123,12,0,3225,366,2859,23.88888888888889,-0.5212765957446808,1.0,151.9448663964743,24.93020250046884
2025-05,Himachal Pradesh,507,494,12,1,2707,326,2381,5.339250493096647,2.7555555555555555,0.9980276134122288,151.9448663964743,37.3329624028953
2025-06,Himachal Pradesh,405,388,15,2,3008,458,2550,7.42716049382716,-0.20118343195266275,0.9950617283950617,151.9448663964743,24.308356419291762
2025-07,Himachal Pradesh,243,231,10,2,1616,291,1325,6.650205761316872,-0.4,0.9917695473251029,151.9448663964743,23.26184119191827
2025-08,Himachal Pradesh,584,559,21,4,4053,417,3636,6.940068493150685,1.403292181069959,0.9931506849315068,151.9448663964743,31.382404949794406
2025-09,Himachal Pradesh,553,534,15,4,3875,427,3448,7.007233273056058,-0.05308219178082196,0.9927667269439421,151.9448663964743,24.874457753681583
2025-10,Himachal Pradesh,613,592,18,3,4008,393,3615,6.5383360522022835,0.10849909584086803,0.9951060358890701,151.9448663964743,25.587673600103738
2025-11,Himachal Pradesh,480,459,18,3,3951,478,3473,8.23125,-0.21696574225122345,0.99375,151.9448663964743,24.307015149484776
2025-12,Himachal Pradesh,402,384,14,4,4259,526,3733,10.59452736318408,-0.16249999999999998,0.9900497512437811,151.9448663964743,24.75685625572482
2025-01,Jammu & Kashmir,2,2,0,0,9,0,9,4.5,0.0,1.0,1.5075567228888183,24.925192816074762
