year_month,state,total_updates,demo_age_5_17,demo_age_17_
2025-02,Jharkhand,24695,2338,22357
2025-02,Karnataka,25149,2823,22326
2025-02,Kerala,17216,1372,15844
2025-02,Ladakh,87,15,72
2025-02,Lakshadweep,23,4,19
2025-02,Madhya Pradesh,31929,3961,27968
2025-02,Maharashtra,57675,3949,53726
2025-02,Manipur,8916,1292,7624
2025-02,Meghalaya,1349,144,1205
2025-02,Mizoram,674,83,591
2025-02,Nagaland,777,64,713
2025-02,Odisha,18082,2473,15609
2025-02,Orissa,974,57,917
2025-02,Pondicherry,262,28,234
2025-02,Puducherry,638,97,541
2025-02,Punjab,13750,723,13027
2025-02,Rajasthan,32967,3863,29104
2025-02,Sikkim,601,34,567
2025-02,Tamil Nadu,50917,9203,41714
2025-02,Telangana,33899,4757,29142
2025-02,Tripura,3171,319,2852
2025-02,Uttar Pradesh,157658,17186,140472
2025-02,Uttarakhand,7338,841,6497
2025-02,West  Bengal,4,0,4
2025-02,West Bangal,3,0,3
2025-02,West Bengal,95022,5799,89223
2025-02,West Bengli,1,0,1
2025-02,West bengal,5,0,5
2025-02,Westbengal,5,0,5
2025-02,andhra pradesh,3,0,3
2025-02,odisha,1,0,1
2025-02,west Bengal,2,0,2
2025-03,Andaman & Nicobar Islands,54,2,52
2025-03,Andaman and Nicobar Islands,217,18,199
2025-03,Andhra Pradesh,45597,6541,39056
2025-03,Arunachal Pradesh,1191,210,981
2025-03,Assam,21726,2126,19600
2025-03,Bihar,121407,9808,111599
2025-03,Chandigarh,870,89,781
2025-03,Chhattisgarh,28918,2999,25919
2025-03,Dadra & Nagar Haveli,7,3,4
2025-03,Dadra and Nagar Haveli,124,34,90
2025-03,Dadra and Nagar Haveli and Daman and Diu,109,9,100
2025-03,Daman & Diu,15,0,15
2025-03,Daman and Diu,42,3,39
2025-03,Delhi,12994,1466,11528
2025-03,Goa,830,67,763
2025-03,Gujarat,35850,3789,32061
2025-03,Haryana,17990,2162,15828
2025-03,Himachal Pradesh,3185,533,2652
2025-03,Jammu & Kashmir,10,1,9
2025-03,Jammu and Kashmir,5734,823,4911
2025-03,Jharkhand,24817,2333,22484
2025-03,Karnataka,31788,4264,27524
2025-03,Kerala,20973,1788,19185
2025-03,Ladakh,110,23,87
2025-03,Lakshadweep,46,5,41
2025-03,Madhya Pradesh,48091,7046,41045
2025-03,Maharashtra,146356,7753,138603
2025-03,Manipur,9427,1245,8182
2025-03,Meghalaya,2258,231,2027
2025-03,Mizoram,812,94,718
2025-03,Nagaland,1137,96,1041
2025-03,Odisha,26436,4022,22414
2025-03,Orissa,983,71,912
2025-03,Pondicherry,270,24,246
2025-03,Puducherry,597,94,503
2025-03,Punjab,16877,952,15925
2025-03,Rajasthan,41005,5253,35752
2025-03,Sikkim,699,57,642
2025-03,Tamil Nadu,50302,9036,41266
2025-03,Telangana,31266,4285,26981
2025-03,Tripura,3024,316,2708
2025-03,Uttar Pradesh,145144,16213,128931
2025-03,Uttarakhand,6122,743,5379
2025-03,WEST BENGAL,2,0,2
2025-03,WESTBENGAL,3,0,3
2025-03,West  Bengal,8,3,5
2025-03,West Bangal,10,1,9
2025-03,West Bengal,75579,4687,70892
2025-03,Westbengal,3,0,3
2025-03,andhra pradesh,1,0,1
2025-04,Andaman & Nicobar Islands,55,0,55
2025-04,Andaman and Nicobar Islands,130,12,118
2025-04,Andhra Pradesh,46690,6463,40227
2025-04,Arunachal Pradesh,1130,175,955
2025-04,Assam,26151,2299,23852
2025-04,Bihar,138082,9412,128670
2025-04,Chandigarh,905,119,786
2025-04,Chhatisgarh,1,0,1
2025-04,Chhattisgarh,33878,2901,30977
2025-04,Dadra & Nagar Haveli,15,0,15
2025-04,Dadra and Nagar Haveli,147,40,107
2025-04,Dadra and Nagar Haveli and Daman and Diu,66,1,65
2025-04,Daman & Diu,18,1,17
2025-04,Daman and Diu,61,12,49
2025-04,Delhi,13427,1416,12011
2025-04,Goa,994,74,920
2025-04,Gujarat,34321,3224,31097
2025-04,Haryana,14803,1681,13122
2025-04,Himachal Pradesh,3225,366,2859
2025-04,Jammu & Kashmir,21,0,21
2025-04,Jammu and Kashmir,6024,822,5202
2025-04,Jharkhand,25236,2143,23093
2025-04,Karnataka,31995,3876,28119
2025-04,Kerala,19667,1393,18274
2025-04,Ladakh,87,12,75
2025-04,Lakshadweep,24,2,22
2025-04,Madhya Pradesh,45620,5984,39636
2025-04,Maharashtra,155322,6367,148955
2025-04,Manipur,8789,1147,7642
2025-04,Meghalaya,1980,213,1767
2025-04,Mizoram,700,83,617
2025-04,Nagaland,897,106,791
2025-04,ODISHA,1,0,1
2025-04,Odisha,22052,2952,19100
2025-04,Orissa,1124,57,1067
2025-04,Pondicherry,299,26,273
2025-04,Puducherry,569,103,466
2025-04,Punjab,14664,886,13778
2025-04,Rajasthan,37378,3955,33423
2025-04,Sikkim,560,47,513
2025-04,Tamil Nadu,56732,10895,45837
2025-04,Telangana,33148,4842,28306
2025-04,Tripura,3405,323,3082
2025-04,Uttar Pradesh,173203,19299,153904
2025-04,Uttarakhand,7265,707,6558
2025-04,WEST BENGAL,1,0,1
2025-04,WESTBENGAL,1,0,1
2025-04,West  Bengal,3,0,3
2025-04,West Bangal,6,0,6
2025-04,West Bengal,96543,5564,90979
2025-04,West bengal,1,0,1
2025-04,Westbengal,2,0,2
2025-04,andhra pradesh,1,0,1
2025-05,Andaman & Nicobar Islands,34,1,33
2025-05,Andaman and Nicobar Islands,104,13,91
2025-05,Andhra Pradesh,28210,5440,22770
2025-05,Arunachal Pradesh,779,139,640
2025-05,Assam,19304,1730,17574
2025-05,Bihar,99051,6664,92387
2025-05,Chandigarh,470,55,415
2025-05,Chhattisgarh,15755,1664,14091
2025-05,Dadra & Nagar Haveli,8,1,7
2025-05,Dadra and Nagar Haveli,77,36,41
2025-05,Dadra and Nagar Haveli and Daman and Diu,74,2,72
2025-05,Daman & Diu,4,0,4
2025-05,Daman and Diu,15,3,12
2025-05,Delhi,8171,862,7309
2025-05,Goa,680,75,605
2025-05,Gujarat,19838,2200,17638
2025-05,Haryana,12233,1522,10711
2025-05,Himachal Pradesh,2707,326,2381
2025-05,Jammu & Kashmir,10,2,8
2025-05,Jammu and Kashmir,4069,645,3424
2025-05,Jharkhand,14013,1381,12632
2025-05,Karnataka,19706,2573,17133
2025-05,Kerala,13747,1028,12719
2025-05,Ladakh,81,16,65
2025-05,Lakshadweep,14,5,9
2025-05,Madhya Pradesh,21213,2936,18277
2025-05,Maharashtra,51317,3528,47789
2025-05,Manipur,6911,908,6003
2025-05,Meghalaya,1657,185,1472
2025-05,Mizoram,275,36,239
2025-05,Nagaland,634,67,567
2025-05,ODISHA,2,0,2
2025-05,Odisha,14679,1989,12690
2025-05,Orissa,585,37,548
2025-05,Pondicherry,157,10,147
2025-05,Puducherry,479,94,385
2025-05,Punjab,12390,856,11534
2025-05,Rajasthan,28716,3305,25411
2025-05,Sikkim,715,45,670
2025-05,Tamil Nadu,36514,6676,29838
2025-05,Telangana,26211,4277,21934
2025-05,Tripura,2328,230,2098
2025-05,Uttar Pradesh,124823,13530,111293
2025-05,Uttarakhand,5602,645,4957
2025-05,WEST BENGAL,2,0,2
2025-05,WESTBENGAL,1,0,1
2025-05,West  Bengal,2,0,2
2025-05,West Bangal,5,0,5
2025-05,West Bengal,66023,4332,61691
2025-05,andhra pradesh,3,0,3
2025-06,Andaman & Nicobar Islands,17,0,17
2025-06,Andaman and Nicobar Islands,95,10,85
2025-06,Andhra Pradesh,35435,5346,30089
2025-06,Arunachal Pradesh,654,125,529
2025-06,Assam,20398,2042,18356
2025-06,Bihar,107364,7809,99555
2025-06,Chandigarh,770,91,679
2025-06,Chhattisgarh,24007,2417,21590
2025-06,Dadra & Nagar Haveli,2,0,2
2025-06,Dadra and Nagar Haveli,187,71,116
2025-06,Dadra and Nagar Haveli and Daman and Diu,112,11,101
2025-06,Daman & Diu,20,1,19
2025-06,Daman and Diu,46,8,38
2025-06,Delhi,13042,1505,11537
2025-06,Goa,859,62,797
2025-06,Gujarat,29719,3677,26042
2025-06,Haryana,12744,1549,11195
2025-06,Himachal Pradesh,3008,458,2550
2025-06,Jammu & Kashmir,14,1,13
2025-06,Jammu and Kashmir,5961,851,5110
2025-06,Jharkhand,21428,2142,19286
2025-06,Karnataka,28673,4258,24415
2025-06,Kerala,17187,1521,15666
2025-06,Ladakh,128,17,111
2025-06,Lakshadweep,55,4,51
2025-06,Madhya Pradesh,39436,6002,33434
2025-06,Maharashtra,127884,5838,122046
2025-06,Manipur,9044,1157,7887
2025-06,Meghalaya,830,130,700
2025-06,Mizoram,453,70,383
2025-06,Nagaland,747,97,650
2025-06,ODISHA,2,0,2
2025-06,Odisha,23506,3319,20187
2025-06,Orissa,950,69,881
2025-06,Pondicherry,201,16,185
2025-06,Puducherry,626,136,490
2025-06,Punjab,11857,770,11087
2025-06,Rajasthan,28016,3428,24588
2025-06,Sikkim,309,13,296
2025-06,Tamil Nadu,35063,7466,27597
2025-06,Telangana,27175,4208,22967
2025-06,Tripura,2483,256,2227
2025-06,Uttar Pradesh,163125,20023,143102
2025-06,Uttarakhand,6621,841,5780
2025-06,West  Bengal,3,0,3
2025-06,West Bangal,8,0,8
2025-06,West Bengal,103985,6375,97610
2025-06,West Bengli,1,0,1
2025-06,West bengal,3,0,3
2025-06,Westbengal,3,0,3
2025-06,andhra pradesh,2,1,1
2025-07,Andaman & Nicobar Islands,19,0,19
2025-07,Andaman and Nicobar Islands,95,16,79
2025-07,Andhra Pradesh,29925,6080,23845
2025-07,Arunachal Pradesh,504,84,420
2025-07,Assam,12091,993,11098
2025-07,Bihar,67462,5667,61795
2025-07,Chandigarh,569,51,518
2025-07,Chhattisgarh,12847,1750,11097
2025-07,Dadra & Nagar Haveli,8,0,8
2025-07,Dadra and Nagar Haveli,111,43,68
2025-07,Dadra and Nagar Haveli and Daman and Diu,69,11,58
2025-07,Daman & Diu,7,0,7
2025-07,Daman and Diu,27,3,24
2025-07,Delhi,8867,916,7951
2025-07,Goa,553,55,498
2025-07,Gujarat,19477,2474,17003
2025-07,Haryana,9683,1117,8566
2025-07,Himachal Pradesh,1616,291,1325
2025-07,Jammu & Kashmir,6,0,6
2025-07,Jammu and Kashmir,3232,482,2750
2025-07,Jharkhand,14823,1423,13400
2025-07,Karnataka,22266,3404,18862
2025-07,Kerala,12971,950,12021
2025-07,Ladakh,72,20,52
2025-07,Lakshadweep,22,3,19
2025-07,Madhya Pradesh,26038,3835,22203
2025-07,Maharashtra,108482,3831,104651
2025-07,Manipur,6615,753,5862
2025-07,Meghalaya,309,41,268
2025-07,Mizoram,276,28,248
2025-07,Nagaland,391,39,352
2025-07,Odisha,10353,1705,8648
2025-07,Orissa,407,41,366
2025-07,Pondicherry,118,12,106
2025-07,Puducherry,468,72,396
2025-07,Punjab,7583,534,7049
2025-07,Rajasthan,22172,2718,19454
2025-07,Sikkim,212,21,191
2025-07,Tamil Nadu,32541,6535,26006
2025-07,Telangana,22980,3734,19246
2025-07,Tripura,1155,127,1028
2025-07,Uttar Pradesh,101500,11040,90460
2025-07,Uttarakhand,4578,549,4029
2025-07,WEST BENGAL,1,0,1
2025-07,WESTBENGAL,1,0,1
2025-07,West  Bengal,1,0,1
2025-07,West Bangal,3,0,3
2025-07,West Bengal,52289,3193,49096
2025-07,Westbengal,4,0,4
2025-07,andhra pradesh,1,0,1
2025-08,Andaman & Nicobar Islands,23,0,23
2025-08,Andaman and Nicobar Islands,93,9,84
2025-08,Andhra Pradesh,32283,4803,27480
2025-08,Arunachal Pradesh,1146,204,942
2025-08,Assam,29761,2657,27104
2025-08,Bihar,163158,11197,151961
2025-08,Chandigarh,910,98,812
2025-08,Chhattisgarh,44132,3863,40269
2025-08,Dadra & Nagar Haveli,9,2,7
2025-08,Dadra and Nagar Haveli,186,32,154
2025-08,Dadra and Nagar Haveli and Daman and Diu,89,3,86
2025-08,Daman & Diu,29,3,26
2025-08,Daman and Diu,39,3,36
2025-08,Delhi,14553,1565,12988
2025-08,Goa,1121,85,1036
2025-08,Gujarat,37372,3698,33674
2025-08,Haryana,16643,1877,14766
2025-08,Himachal Pradesh,4053,417,3636
2025-08,Jammu & Kashmir,16,0,16
2025-08,Jammu and Kashmir,7806,1131,6675
2025-08,Jharkhand,34459,3094,31365
2025-08,Karnataka,38247,4917,33330
2025-08,Kerala,26364,2266,24098
2025-08,Ladakh,118,23,95
2025-08,Lakshadweep,53,11,42
2025-08,Madhya Pradesh,50107,6858,43249
2025-08,Maharashtra,129910,6439,123471
2025-08,Manipur,12844,1923,10921
2025-08,Meghalaya,1808,184,1624
2025-08,Mizoram,754,91,663
2025-08,Nagaland,974,107,867
2025-08,Odisha,25997,3490,22507
2025-08,Orissa,1123,66,1057
2025-08,Pondicherry,307,22,285
2025-08,Puducherry,644,112,532
2025-08,Punjab,16234,907,15327
2025-08,Rajasthan,41681,4889,36792
2025-08,Sikkim,590,41,549
2025-08,Tamil Nadu,55101,8921,46180
2025-08,Telangana,42671,5957,36714
2025-08,Tripura,4324,402,3922
2025-08,Uttar Pradesh,245687,26708,218979
2025-08,Uttarakhand,9352,987,8365
2025-08,WEST BENGAL,2,0,2
2025-08,WESTBENGAL,4,0,4
2025-08,West  Bengal,1,0,1
2025-08,West Bangal,7,0,7
2025-08,West Bengal,115993,6483,109510
2025-08,West bengal,1,0,1
2025-08,Westbengal,5,0,5
2025-08,andhra pradesh,2,0,2
2025-08,odisha,1,0,1
2025-09,Andaman & Nicobar Islands,22,1,21
2025-09,Andaman and Nicobar Islands,150,16,134
2025-09,Andhra Pradesh,33485,4734,28751
2025-09,Arunachal Pradesh,1031,191,840
2025-09,Assam,17433,1640,15793
2025-09,Bihar,116634,8101,108533
2025-09,Chandigarh,678,93,585
2025-09,Chhattisgarh,27930,2516,25414
2025-09,Dadra & Nagar Haveli,10,1,9
2025-09,Dadra and Nagar Haveli,156,39,117
2025-09,Dadra and Nagar Haveli and Daman and Diu,77,2,75
2025-09,Daman & Diu,14,2,12
2025-09,Daman and Diu,52,7,45
2025-09,Delhi,11180,1306,9874
2025-09,Goa,837,58,779
2025-09,Gujarat,28298,3055,25243
2025-09,Haryana,11767,1477,10290
2025-09,Himachal Pradesh,3875,427,3448
2025-09,Jammu & Kashmir,9,2,7
2025-09,Jammu and Kashmir,6102,802,5300
2025-09,Jharkhand,27784,2525,25259
2025-09,Karnataka,28248,3352,24896
2025-09,Kerala,16451,1341,15110
2025-09,Ladakh,89,19,70
2025-09,Lakshadweep,19,6,13
2025-09,Madhya Pradesh,36669,5160,31509
2025-09,Maharashtra,56596,4400,52196
2025-09,Manipur,5425,818,4607
2025-09,Meghalaya,1586,150,1436
2025-09,Mizoram,480,53,427
2025-09,Nagaland,686,66,620
2025-09,Odisha,16171,2078,14093
2025-09,Orissa,606,27,579
2025-09,Pondicherry,189,18,171
2025-09,Puducherry,422,84,338
2025-09,Punjab,10512,621,9891
2025-09,Rajasthan,27019,3281,23738
2025-09,Sikkim,399,38,361
2025-09,Tamil Nadu,29025,4861,24164
2025-09,Telangana,28576,3648,24928
2025-09,Tripura,2432,231,2201
2025-09,Uttar Pradesh,130058,17676,112382
2025-09,Uttarakhand,6202,753,5449
2025-09,WEST BENGAL,2,0,2
2025-09,West  Bengal,1,0,1
2025-09,West Bangal,2,0,2
2025-09,West Bengal,65802,3749,62053
2025-09,Westbengal,3,0,3
2025-09,andhra pradesh,1,0,1
2025-09,odisha,2,0,2
2025-10,Andaman & Nicobar Islands,26,0,26
2025-10,Andaman and Nicobar Islands,109,7,102
2025-10,Andhra Pradesh,31889,3604,28285
2025-10,Arunachal Pradesh,857,164,693
2025-10,Assam,21969,1889,20080
2025-10,Bihar,126935,8111,118824
2025-10,Chandigarh,670,60,610
2025-10,Chhattisgarh,33973,2999,30974
2025-10,Dadra & Nagar Haveli,6,2,4
2025-10,Dadra and Nagar Haveli,106,18,88
2025-10,Dadra and Nagar Haveli and Daman and Diu,79,5,74
2025-10,Daman & Diu,17,1,16
2025-10,Daman and Diu,35,7,28
2025-10,Delhi,10300,1157,9143
2025-10,Goa,891,30,861
2025-10,Gujarat,30116,2772,27344
2025-10,Haryana,14252,1676,12576
2025-10,Himachal Pradesh,4008,393,3615
2025-10,Jammu & Kashmir,13,0,13
2025-10,Jammu and Kashmir,5709,733,4976
2025-10,Jharkhand,28567,2494,26073
2025-10,Karnataka,29285,3451,25834
2025-10,Kerala,19517,1528,17989
2025-10,Ladakh,82,16,66
2025-10,Lakshadweep,49,6,43
2025-10,Madhya Pradesh,45872,6010,39862
2025-10,Maharashtra,157775,6154,151621
2025-10,Manipur,12097,1553,10544
2025-10,Meghalaya,2324,231,2093
2025-10,Mizoram,776,94,682
2025-10,Nagaland,890,58,832
2025-10,ODISHA,1,1,0
2025-10,Odisha,25237,3538,21699
2025-10,Orissa,977,50,927
2025-10,Pondicherry,282,11,271
2025-10,Puducherry,576,104,472
2025-10,Punjab,13742,700,13042
2025-10,Rajasthan,39506,4562,34944
2025-10,Sikkim,576,49,527
2025-10,Tamil Nadu,48442,8017,40425
2025-10,Telangana,24627,3103,21524
2025-10,Tripura,3069,294,2775
2025-10,Uttar Pradesh,167093,18867,148226
2025-10,Uttarakhand,7900,828,7072
2025-10,WEST BENGAL,5,0,5
2025-10,WESTBENGAL,3,0,3
2025-10,West  Bengal,1,0,1
2025-10,West Bangal,1,0,1
2025-10,West Bengal,96702,5207,91495
2025-10,West bengal,9,0,9
2025-10,Westbengal,2,0,2
2025-10,andhra pradesh,2,0,2
2025-10,odisha,1,0,1
2025-11,Andaman & Nicobar Islands,45,0,45
2025-11,Andaman and Nicobar Islands,151,15,136
2025-11,Andhra Pradesh,38565,4840,33725
2025-11,Arunachal Pradesh,1040,153,887
2025-11,Assam,20462,1724,18738
2025-11,Bihar,115243,8358,106885
2025-11,Chandigarh,928,92,836
2025-11,Chhattisgarh,32641,3114,29527
2025-11,Dadra & Nagar Haveli,4,0,4
2025-11,Dadra and Nagar Haveli,178,47,131
2025-11,Dadra and Nagar Haveli and Daman and Diu,79,4,75
2025-11,Daman & Diu,16,0,16
2025-11,Daman and Diu,58,8,50
2025-11,Delhi,13897,1542,12355
2025-11,Goa,1017,62,955
2025-11,Gujarat,36161,3496,32665
2025-11,Haryana,15726,1894,13832
2025-11,Himachal Pradesh,3951,478,3473
2025-11,Jammu & Kashmir,21,3,18
2025-11,Jammu and Kashmir,5835,728,5107
2025-11,Jharkhand,29101,2750,26351
2025-11,Karnataka,31754,3895,27859
2025-11,Kerala,18388,1554,16834
2025-11,Ladakh,118,21,97
2025-11,Lakshadweep,36,3,33
2025-11,Madhya Pradesh,47578,6173,41405
2025-11,Maharashtra,127047,6278,120769
2025-11,Manipur,9652,1118,8534
2025-11,Meghalaya,1862,193,1669
2025-11,Mizoram,705,67,638
2025-11,Nagaland,787,84,703
2025-11,ODISHA,5,0,5
2025-11,Odisha,22211,3251,18960
2025-11,Orissa,906,73,833
2025-11,Pondicherry,237,22,215
2025-11,Puducherry,598,140,458
2025-11,Punjab,14885,865,14020
2025-11,Rajasthan,39309,4758,34551
2025-11,Sikkim,554,35,519
2025-11,Tamil Nadu,45338,6947,38391
2025-11,Telangana,22414,3049,19365
2025-11,Tripura,2398,228,2170
2025-11,Uttar Pradesh,149461,16565,132896
2025-11,Uttarakhand,7721,872,6849
2025-11,WESTBENGAL,2,0,2
2025-11,West  Bengal,2,0,2
2025-11,West Bangal,2,0,2
2025-11,West Bengal,89445,5241,84204
2025-11,West bengal,3,0,3
2025-11,Westbengal,5,0,5
2025-11,west Bengal,1,0,1
2025-12,Andaman & Nicobar Islands,36,0,36
2025-12,Andaman and Nicobar Islands,150,12,138
2025-12,Andhra Pradesh,37744,4551,33193
2025-12,Arunachal Pradesh,904,182,722
2025-12,Assam,15676,1437,14239
2025-12,Bihar,95305,6990,88315
2025-12,Chandigarh,771,73,698
2025-12,Chhattisgarh,32525,2680,29845
2025-12,Dadra & Nagar Haveli,4,0,4
2025-12,Dadra and Nagar Haveli,105,23,82
2025-12,Dadra and Nagar Haveli and Daman and Diu,125,15,110
2025-12,Daman & Diu,23,1,22
2025-12,Daman and Diu,60,9,51
2025-12,Delhi,12239,1314,10925
2025-12,Goa,972,64,908
2025-12,Gujarat,39332,3850,35482
2025-12,Haryana,16693,1775,14918
2025-12,Himachal Pradesh,4259,526,3733
2025-12,Jammu & Kashmir,14,0,14
2025-12,Jammu and Kashmir,6147,742,5405
2025-12,Jharkhand,33667,2929,30738
2025-12,Karnataka,34353,3881,30472
2025-12,Kerala,22736,1653,21083
2025-12,Ladakh,106,16,90
2025-12,Lakshadweep,28,4,24
2025-12,Madhya Pradesh,50798,6454,44344
2025-12,Maharashtra,194035,7792,186243
2025-12,Manipur,9945,1362,8583
2025-12,Meghalaya,1931,205,1726
2025-12,Mizoram,688,74,614
2025-12,Nagaland,923,83,840
2025-12,ODISHA,3,0,3
2025-12,Odisha,24197,3266,20931
2025-12,Orissa,995,67,928
2025-12,Pondicherry,258,12,246
2025-12,Puducherry,669,113,556
2025-12,Punjab,18887,1030,17857
2025-12,Rajasthan,49715,6049,43666
2025-12,Sikkim,651,40,611
2025-12,Tamil Nadu,55378,8066,47312
2025-12,Telangana,38465,4882,33583
2025-12,Tripura,4134,380,3754
2025-12,Uttar Pradesh,221405,23575,197830
2025-12,Uttarakhand,9449,1034,8415
2025-12,WESTBENGAL,1,0,1
2025-12,West  Bengal,4,0,4
2025-12,West Bangal,7,1,6
2025-12,West Bengal,108617,6359,102258
2025-12,West bengal,2,0,2
2025-12,Westbengal,5,0,5
2025-12,andhra pradesh,5,1,4
